AT,V,AP,RH,PE
13.11,38.73,1005.89,89.02,485.35048668779183
11.62,43.48,1016.66,76.32,480.0306812993632
32.55,69.89,1013.87,40.09,442.1797250180903
21.94,62.52,1015.99,74.56,462.28912449518026
25.52,67.17,1007.33,85.12,451.7140743596452
19.79,64.45,1016.14,73.54,462.3386809180972
19.73,49.69,1007.78,73.02,467.0300708107741
10.59,25.36,1009.59,100.16,481.20563611351633
23.66,62.08,1022.42,64.13,460.3399544124129
21.67,57.76,1018.32,68.21,464.254208180416
9.44,41.4,1027.64,86.22,484.03160957939497
10.05,41.58,1021.35,95.19,482.20431322765336
28.39,65.51,1014.52,66.48,452.5312662577072
19.95,58.46,1017.45,89.46,458.8163246723112
17.74,50.88,1015.56,89.78,470.86559086501177
13.74,34.03,1018.69,67.34,482.7579431371241
26.48,69.14,1009.31,84.11,447.39558600921447
27.04,69.98,1008.5,75.41,445.153790065612
23.18,59.04,1011.44,79.28,455.6999448662192
14.37,40.56,1021.67,68.18,482.31923849193765
18.5,47.45,1009.23,83.21,462.598060250472
22.75,70.94,1008.03,81.95,453.8253207147457
22.75,57.76,1017.83,66.54,465.1542715505001
23.03,59.04,1011.85,81.24,457.6852445686126
22.12,60.77,1018.01,83.87,456.0221080069677
11.34,41.54,1020.25,75.83,487.9329761503128
27.54,75.6,1018.26,57.89,453.7215478616391
8.47,40.46,1019.87,78.19,486.9102753710452
23.0,66.05,1020.61,80.29,434.6410930671079
12.23,41.58,1018.76,87.66,476.9415539958905
9.6,41.03,1021.01,69.03,495.10844543756775
24.18,66.48,1004.0,64.86,445.9465182989625
17.95,49.21,1012.05,59.44,467.7920144454473
27.32,66.54,1004.95,72.58,444.035384339454
24.22,49.82,1014.61,66.82,465.51028188312864
32.2,69.68,1012.12,42.47,449.58174154358977
14.47,48.14,1017.28,87.36,468.8728790317229
20.78,60.84,1018.66,80.4,458.4260248835912
26.25,52.09,1013.2,53.12,463.0168424158944
31.16,64.96,1001.71,44.85,436.8508653121434
19.68,62.96,1020.41,82.26,464.8120330336738
29.74,56.9,1007.15,41.91,452.01749678885767
14.82,44.2,1018.98,72.8,477.1856319284712
11.17,44.77,1018.2,79.6,485.21173662885286
31.24,74.22,1007.74,48.77,442.20237257088615
13.91,40.24,1017.03,85.93,477.1169331271439
20.01,43.77,1012.13,65.53,468.5581169278989
29.93,69.48,1009.21,54.59,443.3028113591764
23.81,66.51,1016.96,70.16,450.512357812753
22.57,68.3,1017.43,87.69,453.5943973558682
15.12,41.04,1025.95,69.67,472.77946206205047
15.67,38.62,1015.76,66.29,475.3091958999081
19.92,46.97,1014.32,69.17,469.7307804401028
21.75,50.12,1009.36,94.41,460.1034111002591
16.64,39.64,1008.7,81.79,476.3491656864209
